ID,Nome,Tipo,Sub-Tipo,Local,Imagem,Descrição,Interconexão 1,Interconexão 2,Interconexão 3,Interconexão 4,Interconexão 5,Interconexão 6,Interconexão 7,Interconexão 8,Interconexão 9,Interconexão 10,Interconexão 11,Interconexão 12,Interconexão 13,Interconexão 14,Interconexão 15,Dados consolidados,Fonte da descrição
CH-0001,Questão Religiosa,Fato Histórico,Revolução,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Quest%C3%A3o_religiosa.jpg/300px-Quest%C3%A3o_religiosa.jpg,"A questão religiosa foi um conflito ocorrido no Brasil na decada de 1870 que, tendo iniciado como um enfrentamento entre a Igreja Católica e a Maçonaria, acabou se tornando uma grave questão de Estado. Suas causas vem desde muito tempo antes, fundadas em divergências irreconciliáveis entre ultramontanismo, o liberalismo e o regime do padroado, e em aspectos complexos da cultura brasileira",Azeredo Coutinho (Bispo),Dom Cardoso Ayres,Abreu e Lima,,,,,,,,,,,,,"CH-0001 — Questão Religiosa
Classificação: Fato Histórico / Revolução
Descrição: A questão religiosa foi um conflito ocorrido no Brasil na decada de 1870 que, tendo iniciado como um enfrentamento entre a Igreja Católica e a Maçonaria, acabou se tornando uma grave questão de Estado. Suas causas vem desde muito tempo antes, fundadas em divergências irreconciliáveis entre ultramontanismo, o liberalismo e o regime do padroado, e em aspectos complexos da cultura brasileira
Interconexões: Azeredo Coutinho (Bispo); Dom Cardoso Ayres; Abreu e Lima",https://antonioaurel.github.io/data/data-visualization/recife-history-connections/pages/sources.html
CH-0002,1 Jardim de Boa Viagem,Local,Praça,Boa Viagem,https://www.dropbox.com/s/l091x475afxxnqr/1%20Jardim%20de%20Boa%20Viagem.jpg,"No primeiro jardim, uma rua nos leva ao Aeroclube de Pernambuco, fundado em 15 de março de 1940 no Encanta Moça",2 Jardim de Boa Viagem,3 Jardim de Boa Viagem,Avenida Boa Viagem,,,,,,,,,,,,,"CH-0002 — 1 Jardim de Boa Viagem
Classificação: Local / Praça / Boa Viagem
Descrição: No primeiro jardim, uma rua nos leva ao Aeroclube de Pernambuco, fundado em 15 de março de 1940 no Encanta Moça
Interconexões: 2 Jardim de Boa Viagem; 3 Jardim de Boa Viagem; Avenida Boa Viagem",https://antonioaurel.github.io/data/data-visualization/recife-history-connections/pages/sources.html
CH-0003,2 Jardim de Boa Viagem,Local,Praça,Boa Viagem,https://poraqui.news/boa-viagem/wp-content/uploads/sites/4/2017/05/original_5a1a5111a5fffc685872bddb3e751b10.jpeg,"No segundo jardim, na altura do do número 1450, olhando para o mar, encontra-se o busto do pintor Teles Junior (1851-1914); no número 3500 (Edifício Portugal) uma réplica em tamanho pequeno do Monumento dos Descobrimentos existente em Belém (Lisboa)",Teles Junior,1 Jardim de Boa Viagem,3 Jardim de Boa Viagem,Avenida Boa Viagem,,,,,,,,,,,,"CH-0003 — 2 Jardim de Boa Viagem
Classificação: Local / Praça / Boa Viagem
Descrição: No segundo jardim, na altura do do número 1450, olhando para o mar, encontra-se o busto do pintor Teles Junior (1851-1914); no número 3500 (Edifício Portugal) uma réplica em tamanho pequeno do Monumento dos Descobrimentos existente em Belém (Lisboa)
Interconexões: Teles Junior; 1 Jardim de Boa Viagem; 3 Jardim de Boa Viagem; Avenida Boa Viagem",https://antonioaurel.github.io/data/data-visualization/recife-history-connections/pages/sources.html
CH-0004,3 Jardim de Boa Viagem,Local,Praça,Boa Viagem,https://igx.4sqi.net/img/general/width960/32097860_5aCa9NrEzCvf8KgKS-SJOG884vI7mLGnGpZWBZqmaSA.jpg,No Terceiro Jardim são encontradas peças de arquitetura de Ricardo Brenan.,1 Jardim de Boa Viagem,2 Jardim de Boa Viagem,Avenida Boa Viagem,,,,,,,,,,,,,"CH-0004 — 3 Jardim de Boa Viagem
Classificação: Local / Praça / Boa Viagem
Descrição: No Terceiro Jardim são encontradas peças de arquitetura de Ricardo Brenan.
Interconexões: 1 Jardim de Boa Viagem; 2 Jardim de Boa Viagem; Avenida Boa Viagem",https://antonioaurel.github.io/data/data-visualization/recife-history-connections/pages/sources.html
CH-0005,Abreu e Lima,Personagem,,,https://upload.wikimedia.org/wikipedia/commons/7/78/General_abreu_e_lima.jpg,"José Inácio de Abreu e Lima (Recife, 6 de abril de 1794 - Recife, 8 de março de 1869) foi um militar, político, jornalista e escritor. Mesmo sendo brasileiro de nascimento, participou com destaque das guerras de independência da América espanhola. Devido a isso, conhecido com maior notoriedade como General Abreu e Lima por ter sido um dos generais de Simón Bolívar, um dos principais líderes pela libertação da América hispánica",Padre Roma,Revolução Pernambucana de 1817,Revolução Praieira,Dom Cardoso Ayres,Questão Religiosa,Cemitério dos Ingleses,,,,,,,,,,"CH-0005 — Abreu e Lima
Classificação: Personagem
Descrição: José Inácio de Abreu e Lima (Recife, 6 de abril de 1794 - Recife, 8 de março de 1869) foi um militar, político, jornalista e escritor. Mesmo sendo brasileiro de nascimento, participou com destaque das guerras de independência da América espanhola. Devido a isso, conhecido com maior notoriedade como General Abreu e Lima por ter sido um dos generais de Simón Bolívar, um dos principais líderes pela libertação da América hispánica
Interconexões: Padre Roma; Revolução Pernambucana de 1817; Revolução Praieira; Dom Cardoso Ayres; Questão Religiosa; Cemitério dos Ingleses",https://antonioaurel.github.io/data/data-visualization/recife-history-connections/pages/sources.html
CH-0006,Academia Pernambucana de Letras,Local,Biblioteca,Graças,http://jconlineimagem.ne10.uol.com.br/imagem/galeria/2015/04/10/4352_avulsa/normal/5da9cf9625826af0d8fd2452c33ad396.jpg,"A Academia Pernambucana de Letras foi fundada em 26 de janeiro de 1901, no Recife, por Carneiro Vilela e outros escritores pernambucanos da época, com um total de 20 cadeiras. Foi uma das primeiras academias de letras do Brasil, sendo precedida apenas pela Academia Cearense de Letras, pela Academia Brasileira de Letras e pela Academia Paraense de Letras.",Avenida Rui Barbosa,Ariano Suassuna,Colégio Damas,Jardim do Baobá,Ponte D'Uchôa,Rui Barbosa,Josué de Castro,,,,,,,,,"CH-0006 — Academia Pernambucana de Letras
Classificação: Local / Biblioteca / Graças
Descrição: A Academia Pernambucana de Letras foi fundada em 26 de janeiro de 1901, no Recife, por Carneiro Vilela e outros escritores pernambucanos da época, com um total de 20 cadeiras. Foi uma das primeiras academias de letras do Brasil, sendo precedida apenas pela Academia Cearense de Letras, pela Academia Brasileira de Letras e pela Academia Paraense de Letras.
Interconexões: Avenida Rui Barbosa; Ariano Suassuna; Colégio Damas; Jardim do Baobá; Ponte D'Uchôa; Rui Barbosa; Josué de Castro",https://antonioaurel.github.io/data/data-visualization/recife-history-connections/pages/sources.html
CH-0007,Ascenso Ferreira,Personagem,,,https://i2.wp.com/www.nosrevista.com.br/wp-content/uploads/2010/06/ascenso-ferreira.jpg,"Ascenso Carneiro Gonçalves Ferreira (Palmares, 9 de maio de 1895 - Recife, 5 de maio de 1965) foi um poeta brasileiro, conhecido por integrar o movimento modernista de 1922 com uma poesia que destacava a temática regional de sua terra.[1] Usava sempre um grande chapéu de palha, que o caracterizava.",Ponte Buarque de Macedo,,,,,,,,,,,,,,,"CH-0007 — Ascenso Ferreira
Classificação: Personagem
Descrição: Ascenso Carneiro Gonçalves Ferreira (Palmares, 9 de maio de 1895 - Recife, 5 de maio de 1965) foi um poeta brasileiro, conhecido por integrar o movimento modernista de 1922 com uma poesia que destacava a temática regional de sua terra.[1] Usava sempre um grande chapéu de palha, que o caracterizava.
Interconexões: Ponte Buarque de Macedo",https://antonioaurel.github.io/data/data-visualization/recife-history-connections/pages/sources.html
CH-0008,Aderbal Jurema,Personagem,,,https://pt.wikipedia.org/wiki/Aderbal_Jurema#/media/File:Aderbal_Jurema_senador.jpg,"Advogado formado pela Faculdade de Direito do Recife, seria posteriormente ali professor. Diretor do Serviço de Informação Agrícola do Ministério da Agricultura (1946-1947) e secretário do ministro João Cleofas de Oliveira, além de Secretário de Educação nos governos de Etelvino Lins e Cordeiro de Farias.",Mercado da Madalena,Antônio de Góis,,,,,,,,,,,,,,"CH-0008 — Aderbal Jurema
Classificação: Personagem
Descrição: Advogado formado pela Faculdade de Direito do Recife, seria posteriormente ali professor. Diretor do Serviço de Informação Agrícola do Ministério da Agricultura (1946-1947) e secretário do ministro João Cleofas de Oliveira, além de Secretário de Educação nos governos de Etelvino Lins e Cordeiro de Farias.
Interconexões: Mercado da Madalena; Antônio de Góis",https://antonioaurel.github.io/data/data-visualization/recife-history-connections/pages/sources.html
CH-0009,Aeroclube de Pernambuco,Local,Aeroporto,Boa Viagem,https://i.ytimg.com/vi/jT2vhMr2Hik/maxresdefault.jpg,"O Aeroclube de Pernambuco foi fundado em 1940, no bairro do Pina, quando o país necessitava de um local específico que formasse pilotos habilitados a comandar aviões de guerra. Além de pista de pouso e decolagem de aviões de pequeno porte, o Aeroclube era um local onde realizam eventos festivos e competitivos. Hoje, contudo, encontra-se desativado.",Eduardo Gomes,Aeroporto Internacional do Recife,,,,,,,,,,,,,,"CH-0009 — Aeroclube de Pernambuco
Classificação: Local / Aeroporto / Boa Viagem
Descrição: O Aeroclube de Pernambuco foi fundado em 1940, no bairro do Pina, quando o país necessitava de um local específico que formasse pilotos habilitados a comandar aviões de guerra. Além de pista de pouso e decolagem de aviões de pequeno porte, o Aeroclube era um local onde realizam eventos festivos e competitivos. Hoje, contudo, encontra-se desativado.
Interconexões: Eduardo Gomes; Aeroporto Internacional do Recife",https://antonioaurel.github.io/data/data-visualization/recife-history-connections/pages/sources.html
CH-0010,Aeroporto Internacional do Recife,Local,Aeroporto,Boa Viagem,https://upload.wikimedia.org/wikipedia/commons/5/55/Aeroporto_Internacional_de_Guararapes.jpg,"Sua construção antecede a II Guerra Mundial, sendo que o conflito serviu para melhorar a estrutura da Base Aérea do Recife e, consequentemente, do próprio aeroporto. No final da década de 1940, o Recife passou a ter grande importância no tráfego aéreo, em meio as aerovias do Atlântico Sul - Europa, pela sua posição geográfica estratégica. Seu nome oficial foi dado em 2 de julho de 1948, quando o então presidente Eurico Gaspar Dutra assinou o decreto 25.170-A, transformando o Aeroporto do Recife, localizado no Campo do Ibura, em Aeroporto Guararapes",Aeroclube de Pernambuco,Eduardo Gomes,,,,,,,,,,,,,,"CH-0010 — Aeroporto Internacional do Recife
Classificação: Local / Aeroporto / Boa Viagem
Descrição: Sua construção antecede a II Guerra Mundial, sendo que o conflito serviu para melhorar a estrutura da Base Aérea do Recife e, consequentemente, do próprio aeroporto. No final da década de 1940, o Recife passou a ter grande importância no tráfego aéreo, em meio as aerovias do Atlântico Sul - Europa, pela sua posição geográfica estratégica. Seu nome oficial foi dado em 2 de julho de 1948, quando o então presidente Eurico Gaspar Dutra assinou o decreto 25.170-A, transformando o Aeroporto do Recife, localizado no Campo do Ibura, em Aeroporto Guararapes
Interconexões: Aeroclube de Pernambuco; Eduardo Gomes",https://antonioaurel.github.io/data/data-visualization/recife-history-connections/pages/sources.html
CH-0011,Agamenon Magalhães,Personagem,,,http://www.novocpdoc.fgv.br/accessus/imagem_fundo/AGMFOTO20.jpg,"Agamenon Sérgio de Godoy Magalhães (Serra Talhada, 5 de novembro de 1893 — Recife, 24 de agosto de 1952) foi um promotor de direito, geógrafo, professor (de Geografia) e político brasileiro; deputado estadual (1918), federal (1924, 1928, 1932, 1945), governador de estado (1937, 1950) e ministro (Trabalho e Justiça).",Avenida Agamenon Magalhães,Paulo Guerra,Carlos de Lima Cavalcanti,Etelvino Lins,Barbosa Lima Sobrinho,,,,,,,,,,,"CH-0011 — Agamenon Magalhães
Classificação: Personagem
Descrição: Agamenon Sérgio de Godoy Magalhães (Serra Talhada, 5 de novembro de 1893 — Recife, 24 de agosto de 1952) foi um promotor de direito, geógrafo, professor (de Geografia) e político brasileiro; deputado estadual (1918), federal (1924, 1928, 1932, 1945), governador de estado (1937, 1950) e ministro (Trabalho e Justiça).
Interconexões: Avenida Agamenon Magalhães; Paulo Guerra; Carlos de Lima Cavalcanti; Etelvino Lins; Barbosa Lima Sobrinho",https://antonioaurel.github.io/data/data-visualization/recife-history-connections/pages/sources.html
CH-0012,Alfredo Lisboa,Personagem,,,https://ihgb.org.br/images/comprofiler/1826_5900fbb2c8f2a.jpg,"Alfredo Antonio Simões dos Santos Lisboa. Nascido na Embaixada do Brasil na Bolívia em 31 de março de 1847, e faleceu no Rio de Janeiro em 16 de setembro de 1936. Bacharelou-se em Matemática e Filosofia pela Univ. de Coimbra (1871). Formou-se em Engenharia pela Univ. de Gand (Bélgica), em 1873. Veio, então, para o Brasil, dedicando-se em engenharia hidráulica. Realizou muitos trabalhos para o governo, entre eles os de melhoramentos de portos, abertura de estradas e expansão telegráfica. Chefe de Seção da E.F. D. Pedro II (1881/83), engenheiro da E.F. de Pernambuco (1884), engenheiro-chefe da Comissão de Melhoramentos do Porto do Recife e encarregado das Obras Públicas Gerais de PR (1886/90)",Avenida Alfredo Lisboa,Porto do Recife,,,,,,,,,,,,,,"CH-0012 — Alfredo Lisboa
Classificação: Personagem
Descrição: Alfredo Antonio Simões dos Santos Lisboa. Nascido na Embaixada do Brasil na Bolívia em 31 de março de 1847, e faleceu no Rio de Janeiro em 16 de setembro de 1936. Bacharelou-se em Matemática e Filosofia pela Univ. de Coimbra (1871). Formou-se em Engenharia pela Univ. de Gand (Bélgica), em 1873. Veio, então, para o Brasil, dedicando-se em engenharia hidráulica. Realizou muitos trabalhos para o governo, entre eles os de melhoramentos de portos, abertura de estradas e expansão telegráfica. Chefe de Seção da E.F. D. Pedro II (1881/83), engenheiro da E.F. de Pernambuco (1884), engenheiro-chefe da Comissão de Melhoramentos do Porto do Recife e encarregado das Obras Públicas Gerais de PR (1886/90)
Interconexões: Avenida Alfredo Lisboa; Porto do Recife",https://antonioaurel.github.io/data/data-visualization/recife-history-connections/pages/sources.html
